시,"사용자 성명","영향받는 사용자","이벤트 문맥",구성요소,"이벤트 이름",설명,오리진,"ip 주소"
"30/10/23, 15:36:18","admin lms",-,시스템,로그,"로그 보고서 봄","The user with id '2' viewed the log report for the course with id '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:36:15","admin lms",-,시스템,로그,"로그 보고서 봄","The user with id '2' viewed the log report for the course with id '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:36:11","admin lms",-,시스템,로그,"로그 보고서 봄","The user with id '2' viewed the log report for the course with id '0'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:36:05","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:58","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:57","admin lms",-,시스템,시스템,"My courses viewed","The user with id '2' has viewed their my courses page",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:55","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:49","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:48","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:47","admin lms","admin lms","사용자: admin lms",시스템,"강의 현황","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:43","admin lms",-,"시작 페이지",시스템,"강좌 봄","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:24","admin lms",-,"강좌: 파이썬 기초",시스템,"강좌 봄","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"30/10/23, 15:35:22","admin lms",-,"URL: 파이썬의 역사",URL,"감좌 모듈 봄","The user with id '2' viewed the 'url' activity with course module id '2'.",web,0:0:0:0:0:0:0:1
