,연도,시도,행정구역,학제,학교수,학생수 계,교원수 계,정규교원,기간제교원
0,2023.0,서울,종로구,소계,59.0,16008.0,1944.0,1544.0,400.0
1,2023.0,서울,중구,소계,47.0,13517.0,1393.0,1144.0,249.0
2,2023.0,서울,용산구,소계,47.0,14909.0,1575.0,1386.0,189.0
3,2023.0,서울,성동구,소계,68.0,19753.0,1932.0,1747.0,185.0
4,2023.0,서울,광진구,소계,73.0,29771.0,2324.0,2062.0,262.0
5,2023.0,서울,동대문구,소계,74.0,27351.0,2340.0,1991.0,349.0
6,2023.0,서울,중랑구,소계,80.0,27944.0,2422.0,2126.0,296.0
7,2023.0,서울,성북구,소계,107.0,39200.0,3391.0,2916.0,475.0
8,2023.0,서울,강북구,소계,55.0,20957.0,1884.0,1584.0,300.0
9,2023.0,서울,도봉구,소계,75.0,26638.0,2353.0,2046.0,307.0
10,2023.0,서울,노원구,소계,155.0,59171.0,5379.0,4482.0,897.0
11,2023.0,서울,은평구,소계,106.0,42869.0,3760.0,3075.0,685.0
12,2023.0,서울,서대문구,소계,62.0,25618.0,2158.0,1829.0,329.0
13,2023.0,서울,마포구,소계,74.0,28945.0,2592.0,2168.0,424.0
14,2023.0,서울,양천구,소계,102.0,52043.0,4078.0,3439.0,639.0
15,2023.0,서울,강서구,소계,133.0,51495.0,4424.0,3768.0,656.0
16,2023.0,서울,구로구,소계,88.0,36041.0,3244.0,2835.0,409.0
17,2023.0,서울,금천구,소계,51.0,16501.0,1541.0,1320.0,221.0
18,2023.0,서울,영등포구,소계,84.0,28646.0,2501.0,2228.0,273.0
19,2023.0,서울,동작구,소계,76.0,28935.0,2502.0,2200.0,302.0
20,2023.0,서울,관악구,소계,89.0,29421.0,2840.0,2392.0,448.0
21,2023.0,서울,서초구,소계,78.0,43766.0,3465.0,2895.0,570.0
22,2023.0,서울,강남구,소계,119.0,62610.0,4969.0,4078.0,891.0
23,2023.0,서울,송파구,소계,138.0,65573.0,5459.0,4685.0,774.0
24,2023.0,서울,강동구,소계,97.0,47627.0,3870.0,3307.0,563.0
25,2023.0,부산,중구,소계,12.0,3035.0,313.0,221.0,92.0
26,2023.0,부산,서구,소계,34.0,9385.0,911.0,725.0,186.0
27,2023.0,부산,동구,소계,24.0,6755.0,681.0,507.0,174.0
28,2023.0,부산,영도구,소계,41.0,8304.0,930.0,742.0,188.0
29,2023.0,부산,부산진구,소계,111.0,34612.0,3032.0,2499.0,533.0
30,2023.0,부산,동래구,소계,80.0,32788.0,2517.0,2058.0,459.0
31,2023.0,부산,남구,소계,77.0,27839.0,2503.0,2031.0,472.0
32,2023.0,부산,북구,소계,91.0,26044.0,2270.0,1925.0,345.0
33,2023.0,부산,해운대구,소계,98.0,40708.0,3250.0,2653.0,597.0
34,2023.0,부산,사하구,소계,97.0,28929.0,2501.0,2013.0,488.0
35,2023.0,부산,금정구,소계,68.0,22599.0,1989.0,1597.0,392.0
36,2023.0,부산,강서구,소계,61.0,23553.0,1963.0,1616.0,347.0
37,2023.0,부산,연제구,소계,47.0,16964.0,1318.0,1048.0,270.0
38,2023.0,부산,수영구,소계,40.0,12664.0,1089.0,896.0,193.0
39,2023.0,부산,사상구,소계,66.0,14682.0,1439.0,1226.0,213.0
40,2023.0,부산,기장군,소계,74.0,24652.0,1977.0,1623.0,354.0
41,2023.0,대구,중구,소계,31.0,10217.0,867.0,755.0,112.0
42,2023.0,대구,동구,소계,110.0,32672.0,2904.0,2487.0,417.0
43,2023.0,대구,서구,소계,49.0,11932.0,1231.0,1056.0,175.0
44,2023.0,대구,남구,소계,40.0,12766.0,1425.0,1070.0,355.0
45,2023.0,대구,북구,소계,147.0,47948.0,4298.0,3766.0,532.0
46,2023.0,대구,수성구,소계,120.0,54932.0,4509.0,3797.0,712.0
47,2023.0,대구,달서구,소계,184.0,66009.0,5842.0,5071.0,771.0
48,2023.0,대구,달성군,소계,105.0,36290.0,3132.0,2722.0,410.0
49,2023.0,인천,중구,소계,59.0,24039.0,2096.0,1756.0,340.0
50,2023.0,인천,동구,소계,27.0,6733.0,622.0,514.0,108.0
51,2023.0,인천,연수구,소계,119.0,56770.0,4141.0,3618.0,523.0
52,2023.0,인천,미추홀구,소계,92.0,36051.0,3000.0,2565.0,435.0
53,2023.0,인천,남동구,소계,142.0,58821.0,4559.0,3936.0,623.0
54,2023.0,인천,부평구,소계,150.0,48274.0,4101.0,3552.0,549.0
55,2023.0,인천,계양구,소계,88.0,27335.0,2316.0,2041.0,275.0
56,2023.0,인천,서구,소계,181.0,79033.0,5697.0,4829.0,868.0
57,2023.0,인천,강화군,소계,55.0,5430.0,740.0,653.0,87.0
58,2023.0,인천,옹진군,소계,26.0,1043.0,241.0,238.0,3.0
59,2023.0,광주,동구,소계,40.0,9415.0,915.0,767.0,148.0
60,2023.0,광주,서구,소계,106.0,31227.0,2663.0,2319.0,344.0
61,2023.0,광주,남구,소계,98.0,33773.0,2867.0,2234.0,633.0
62,2023.0,광주,북구,소계,189.0,53087.0,4707.0,3882.0,825.0
63,2023.0,광주,광산구,소계,175.0,60470.0,4969.0,4269.0,700.0
64,2023.0,대전,동구,소계,79.0,21545.0,2168.0,1881.0,287.0
65,2023.0,대전,중구,소계,94.0,27144.0,2612.0,2246.0,366.0
66,2023.0,대전,서구,소계,165.0,57618.0,4962.0,4491.0,471.0
67,2023.0,대전,유성구,소계,153.0,49476.0,4349.0,3993.0,356.0
68,2023.0,대전,대덕구,소계,69.0,17288.0,1836.0,1607.0,229.0
69,2023.0,울산,중구,소계,75.0,23400.0,2002.0,1742.0,260.0
70,2023.0,울산,남구,소계,105.0,36293.0,2956.0,2608.0,348.0
71,2023.0,울산,동구,소계,58.0,21461.0,1696.0,1451.0,245.0
72,2023.0,울산,북구,소계,93.0,34286.0,2707.0,2413.0,294.0
73,2023.0,울산,울주군,소계,104.0,26776.0,2389.0,2084.0,305.0
74,2023.0,세종,세종시,소계,168.0,67041.0,6380.0,5208.0,1172.0
75,2023.0,경기,수원시,소계,382.0,145404.0,11589.0,9904.0,1685.0
76,2023.0,경기,성남시,소계,276.0,99047.0,8433.0,7043.0,1390.0
77,2023.0,경기,부천시,소계,247.0,80227.0,6710.0,5762.0,948.0
78,2023.0,경기,안양시,소계,160.0,60467.0,4879.0,4133.0,746.0
79,2023.0,경기,과천시,소계,20.0,9423.0,742.0,642.0,100.0
80,2023.0,경기,안산시,소계,195.0,71987.0,5933.0,4916.0,1017.0
81,2023.0,경기,용인시,소계,347.0,139009.0,10215.0,8807.0,1408.0
82,2023.0,경기,군포시,소계,89.0,27848.0,2336.0,2065.0,271.0
83,2023.0,경기,의왕시,소계,46.0,15043.0,1271.0,1088.0,183.0
84,2023.0,경기,시흥시,소계,172.0,68824.0,5203.0,4418.0,785.0
85,2023.0,경기,평택시,소계,228.0,74433.0,5768.0,4554.0,1214.0
86,2023.0,경기,화성시,소계,359.0,142643.0,10212.0,8500.0,1712.0
87,2023.0,경기,오산시,소계,89.0,34113.0,2530.0,2079.0,451.0
88,2023.0,경기,광명시,소계,91.0,33299.0,2801.0,2418.0,383.0
89,2023.0,경기,광주시,소계,102.0,40035.0,3070.0,2528.0,542.0
90,2023.0,경기,하남시,소계,87.0,40403.0,2998.0,2552.0,446.0
91,2023.0,경기,김포시,소계,183.0,72934.0,5201.0,4403.0,798.0
92,2023.0,경기,이천시,소계,104.0,26679.0,2293.0,1876.0,417.0
93,2023.0,경기,안성시,소계,102.0,21788.0,1872.0,1628.0,244.0
94,2023.0,경기,여주시,소계,78.0,11220.0,1184.0,986.0,198.0
95,2023.0,경기,양평군,소계,68.0,11000.0,1182.0,954.0,228.0
